"Tm","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB","Pos Summary","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Acquired","Outs","RC","RC/G","AIR","BAbip","lgBA","lgOBP","lgSLG","lgOPS","OWn%","BtRuns","BtWins","TotA","SecA","ISO","PwrSpd","Plays","WPA","WPA+","WPA-","aLI","WPA/LI","Clutch","RE24","REW","boLI","RE24/boLI","PHlev","PHAB","HR%","SO%","BB%","XBH%","X/H%","SO/W","AB/SO","AB/HR","AB/RBI","GB/FB","GO/AO","IP%","LD%","HR/FB","IF/FB","ROE","XI","RS%","SBO","SB%","SB2","CS2","SB3","CS3","SBH","CSH","PO","PCS","OOB","OOB1","OOB2","OOB3","OOBHm","BT","XBT%","1stS.x","1stS2","1stS3","1stD","1stD3","1stDH","2ndS","2ndS3","2ndSH","Pit","Pit/PA","Str","Str%","L/Str","S/Str","F/Str","I/Str","AS/Str","I/Bll","AS/Pit","Con","1stS.y","30%","30c","30s","20%","20c","20s","31%","31c","31s","L/SO","S/SO","L/SO%","PAu","Pitu","Stru","1B","UBB","OnBase","Out","LOB","total_GO_FO","GO","FO","Name_Players","#Bat","BatAge","R/G","Name_Tm"
"League Average per 600 PA",200,600,536,70,133,27,3,18,67,8,3,51,134,0.248,0.318,0.409,0.727,NA,219,11,6,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,22.3,8.5,7.9,36,2.63,4,29.6,8,0.78,1.02,65,25,9.1,12,5,0,30,215,72,7,3,1,0,0,0,1,0,5,1,2,1,2,15,41,27,19,8,8,5,4,16,6,9,2345,3.91,1488,63.4,26.5,18.3,27.8,27.4,73.5,0,46.6,75.1,28.7,4.5,27,3,13.7,82,34,8.7,52,29,31,102,23.1,0,0,0,85,48,177,9,98,253,127,125,"League Average per 600 PA",NA,NA,NA,"League Average per 600 PA"
"Arizona Diamondbacks",162,6157,5460,693,1283,259,50,176,658,79,25,560,1460,0.235,0.31,0.397,0.707,84,2170,110,52,38,45,36,NA,-125,10,3,85,60,33,1,188,222,19.5,0.501,0.503,11.6,8.3,136,121250600,NA,4395,716,4.4,109,0.286,0.262,0.337,0.432,0.769,0.48,-136.3,-13.8,0.663,0.275,0.162,109.1,6360,-3.6,107.2,-110.8,1.01,-3.9,0.4,-40.9,-4.1,0.94,-44.1,1.3,228,2.9,23.7,9.1,7.9,38,2.61,3.7,31,8.3,0.79,1.08,63,25,8.8,11,57,2,30,2136,76,61,22,18,3,0,0,9,4,56,8,22,5,21,156,45,245,157,84,69,35,33,130,44,81,24087,3.91,15336,63.7,28.2,18.4,26.8,26.6,71.8,0,45.7,74.4,28.5,4.5,278,16,12.7,786,290,8.9,550,301,378,1080,25.9,0,0,0,798,524,1778,90,995,2550,1324,1225,NA,49,29.2,4.28,"Arizona Diamondbacks"
"Atlanta Braves",162,6251,5582,759,1433,314,29,175,717,90,36,511,1290,0.257,0.324,0.417,0.742,99,2330,99,66,49,43,53,NA,-8,4,1,50,60,108,8.9,189,297,27.6,0.505,0.505,23.4,4.5,247,83671667,NA,4376,800,4.9,102,0.302,0.254,0.327,0.417,0.744,0.533,-5.6,-0.8,0.7,0.262,0.161,118.9,6457,2.9,110.1,-107.2,0.98,3.2,-0.3,58.9,5.5,0.95,45.1,1.16,218,2.8,20.6,8.2,8.3,36,2.52,4.3,31.9,7.8,0.76,1.01,67,26,8,11,60,0,31,2273,71,75,28,13,7,2,1,8,5,51,6,14,8,23,142,44,284,190,92,102,56,42,171,51,110,23960,3.83,15353,64.1,23,18.2,30.3,28.6,77,0,49.4,76.4,34.5,4.4,273,18,13.2,828,361,7.8,487,296,302,979,23.4,0,0,0,915,458,1895,95,1041,2700,1356,1343,NA,58,27.3,4.69,"Atlanta Braves"
"Baltimore Orioles",162,6034,5507,622,1317,242,15,188,593,81,22,422,1412,0.239,0.298,0.391,0.689,91,2153,132,57,13,35,19,NA,-73,2,-7,-88,-6,-172,-15.5,215,43,5,0.49,0.494,12.6,-7.8,131,136816833,NA,4392,650,4,96,0.286,0.245,0.314,0.409,0.723,0.429,-73.3,-7.4,0.625,0.239,0.152,113.2,6219,-18.6,92.5,-111.1,0.99,-10.9,-8,-109,-11.1,0.91,-108.9,1.46,85,3.1,23.4,7,7.4,34,3.35,3.9,29.3,9.3,0.81,1.09,65,24,9.4,12,46,0,27,2090,79,72,17,8,4,1,1,8,3,48,5,21,5,17,141,41,253,177,74,83,41,35,148,58,87,23540,3.89,15130,64.3,24.7,20.4,27.6,27.4,75.3,0,48.4,73,29.9,3.9,235,30,13.1,795,367,8.1,487,290,284,1128,20.1,0,0,0,872,403,1654,78,954,2600,1355,1244,NA,56,28.4,3.84,"Baltimore Orioles"
"Boston Red Sox",162,6302,5623,876,1509,355,31,208,829,125,31,569,1253,0.268,0.339,0.453,0.792,112,2550,130,55,7,48,38,NA,97,6,-4,-55,-3,41,6.1,222,263,27.3,0.502,0.504,31.5,-4.1,318,177730000,NA,4330,905,5.6,103,0.309,0.254,0.324,0.424,0.748,0.585,96,9,0.772,0.303,0.185,156.2,6578,15.1,116.6,-101.5,0.95,10.2,5.6,136.8,12.6,0.96,111.5,1.58,84,3.3,19.9,9,9.4,39,2.2,4.5,27,6.8,0.78,1.04,67,25,9.4,11,70,0,34,2271,80,109,25,16,4,0,2,12,4,57,5,23,12,17,186,37,274,190,82,120,79,39,203,98,97,24783,3.92,15452,62.3,26.6,16.5,28.2,28.6,73.4,0,45.7,77.5,26.9,4.8,304,27,15.3,964,405,9.6,605,325,278,974,22.2,0,0,0,915,531,1995,100,1019,2661,1356,1304,NA,44,27.7,5.41,"Boston Red Sox"
"Chicago Cubs",163,6369,5624,761,1453,286,34,167,722,66,38,576,1388,0.258,0.333,0.41,0.744,95,2308,107,78,40,46,67,NA,-49,2,8,51,57,69,4.9,195,264,24,0.503,0.503,19.7,4.3,213,202373881,NA,4402,806,4.9,108,0.313,0.261,0.336,0.43,0.766,0.534,-42.9,-4.4,0.702,0.259,0.152,94.6,6587,-0.5,110.4,-111,0.99,3.7,-4.2,34.7,3.1,0.97,40.3,1.23,240,2.6,21.8,9,7.7,34,2.41,4.1,33.7,7.8,0.88,1.17,65,25,8.3,11,60,5,30,2351,63,53,31,11,6,2,1,12,6,70,14,20,15,21,191,43,344,210,127,98,59,37,171,66,99,24473,3.83,15517,63.4,25.6,19.2,27.3,27.9,74.4,0,47.2,74.1,32.3,5.4,344,38,13.9,885,331,8.2,523,278,347,1038,25,0,0,0,966,509,2005,120,1124,2616,1410,1205,NA,50,27.2,4.67,"Chicago Cubs"
"Chicago White Sox",162,6071,5523,656,1332,259,40,182,639,98,41,425,1594,0.241,0.302,0.401,0.703,93,2217,99,66,24,32,18,NA,-47,-3,0,-41,-5,-96,-7.5,216,120,13,0.494,0.497,15.8,-2.9,161,66434000,NA,4387,678,4.1,97,0.304,0.246,0.315,0.411,0.726,0.448,-55.8,-5.6,0.648,0.248,0.16,127.4,6292,-8.8,98.4,-107.2,0.97,-6,-3.1,-76.1,-7.7,0.92,-64.1,1.57,79,3,26.3,7,7.9,36,3.75,3.5,30.3,8.6,0.83,1.1,62,25,9.6,12,60,1,28,2065,71,79,37,19,3,0,1,12,5,53,4,18,9,22,123,41,250,166,81,85,46,35,140,56,77,23781,3.91,15549,65.4,25.3,21.1,28,25.6,74.7,0,48.8,71.8,29.8,3.4,204,19,11.5,698,327,7.1,430,263,362,1228,22.7,0,0,0,851,407,1702,106,940,2438,1277,1160,NA,51,26.5,4.05,"Chicago White Sox"
"Cincinnati Reds",162,6240,5532,696,1404,251,25,172,665,77,33,559,1376,0.254,0.328,0.401,0.729,94,2221,128,65,49,35,35,NA,-54,-16,-1,9,58,-3,-2.9,190,187,15.9,0.5,0.501,16.1,-0.2,178,94042500,NA,4373,758,4.7,104,0.307,0.257,0.331,0.422,0.753,0.509,-48.8,-5,0.681,0.257,0.148,106.4,6417,-6.9,106.3,-113.2,1.03,-2.5,-4.2,-19.1,-2.1,0.97,-22.9,1.27,218,2.8,22.1,9,7.2,32,2.46,4,32.2,8.3,0.71,0.97,64,27,7.9,10,39,0,28,2308,70,67,29,10,2,0,2,14,8,49,8,11,11,19,115,35,333,246,84,78,42,35,182,89,86,23833,3.81,15067,63.2,25.4,17.6,28.9,28.1,74.6,0,47.1,76.4,32.7,4.6,288,25,13.5,841,375,8.4,526,262,355,1012,25.8,0,0,0,956,524,1895,96,1103,2585,1272,1312,NA,53,27.2,4.3,"Cincinnati Reds"
"Cleveland Indians",162,6300,5595,818,1447,297,19,216,786,135,36,554,1189,0.259,0.332,0.434,0.766,105,2430,98,80,25,44,32,NA,39,14,2,3,-5,53,7.7,220,274,28.6,0.503,0.504,26.9,1.7,271,133085233,NA,4351,847,5.2,103,0.291,0.254,0.324,0.424,0.748,0.553,39.7,3.7,0.747,0.292,0.176,166.2,6576,-1.1,104.4,-105.4,0.94,6.2,-7.3,71.5,6.6,0.95,62.1,1.27,87,3.4,18.9,8.8,8.4,37,2.15,4.7,25.9,7.1,0.7,0.9,67,26,9.5,12,56,2,31,2257,79,118,32,15,3,2,1,7,5,56,11,23,11,11,187,41,301,209,88,104,62,42,175,62,106,24696,3.92,15361,62.2,26.4,15.7,28.8,29.1,73.6,0,45.8,78.6,25.1,5.6,351,43,15.7,988,445,9.4,593,374,255,934,21.4,0,0,0,915,522,1923,99,1006,2805,1328,1476,NA,49,29.4,5.05,"Cleveland Indians"
"Colorado Rockies",163,6178,5541,780,1418,280,42,210,748,95,33,507,1397,0.256,0.322,0.435,0.757,90,2412,114,51,42,37,38,NA,-76,3,-1,-20,59,-35,-6.3,186,151,12.1,0.498,0.5,15.4,-3.1,172,135498500,NA,4349,807,5,116,0.304,0.272,0.348,0.447,0.795,0.54,-93.9,-9.6,0.718,0.282,0.179,130.8,6397,5.7,111.6,-106,0.96,2.8,3.1,28.5,2.4,0.93,27.9,1.17,240,3.4,22.6,8.2,8.6,38,2.76,4,26.4,7.4,0.87,1.21,64,25,10.5,9,61,0,32,2210,74,91,33,4,0,0,0,11,5,59,10,12,19,18,126,47,265,164,94,81,41,38,161,50,108,23543,3.8,15031,63.8,23.6,19.5,28.8,28.1,76.4,0,48.8,74.4,32.2,4.1,257,14,12.5,773,362,8.1,502,288,301,1088,21.5,0,0,0,886,469,1827,103,944,2551,1396,1154,NA,41,28.7,4.79,"Colorado Rockies"
